,County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
48,Garfield,21586.0,14331.0,1581.0,4410.0,10.0,28.0,917.0,77.0,193.0,39.0,8.0,45.0,2020,59605.0,8045.0,Glenwood Springs,"56,389","7,634.15","2,947.56",21.431,8.274,"7,655.58","2,955.84",39.599352,-107.90978,64.3121794871795,35.7179487179487,49.457692307692305,48.7211538461539,4.19365384615385,23.6544871794872,243.291666666667,17.2615384615385,7.48717948717949
49,Garfield,21807.5,14113.5,1607.5,4801.5,0.0,2.5,979.0,92.5,170.5,42.5,,,2021,,,,,,,,,,,,,,,,,,,,,
50,Gunnison,6495.0,3159.0,752.0,1683.0,16.0,45.0,776.0,40.0,24.0,0.0,8.0,51.0,2017,16215.0,8051.0,Gunnison,"15,324","8,389.23","3,239.10",53.172,20.53,"8,442.40","3,259.63",38.669679,-107.078108,56.4378205128205,26.7910256410256,41.2852564102564,55.292307692307695,7.37179487179487,26.1660256410256,235.130769230769,15.8666666666667,6.66025641025641
51,Gunnison,6643.0,3196.0,783.0,1788.0,14.0,26.0,742.0,43.0,42.0,9.0,8.0,51.0,2018,16537.0,8051.0,Gunnison,"15,324","8,389.23","3,239.10",53.172,20.53,"8,442.40","3,259.63",38.669679,-107.078108,56.4378205128205,26.7910256410256,41.2852564102564,55.292307692307695,7.37179487179487,26.1660256410256,235.130769230769,15.8666666666667,6.66025641025641
52,Gunnison,6616.0,3004.0,755.0,1959.0,18.0,35.0,750.0,42.0,43.0,10.0,8.0,51.0,2019,16802.0,8051.0,Gunnison,"15,324","8,389.23","3,239.10",53.172,20.53,"8,442.40","3,259.63",38.669679,-107.078108,56.4378205128205,26.7910256410256,41.2852564102564,55.292307692307695,7.37179487179487,26.1660256410256,235.130769230769,15.8666666666667,6.66025641025641
53,Gunnison,6824.0,2855.0,762.0,1888.0,17.0,41.0,1125.0,59.0,51.0,26.0,8.0,51.0,2020,17119.0,8051.0,Gunnison,"15,324","8,389.23","3,239.10",53.172,20.53,"8,442.40","3,259.63",38.669679,-107.078108,56.4378205128205,26.7910256410256,41.2852564102564,55.292307692307695,7.37179487179487,26.1660256410256,235.130769230769,15.8666666666667,6.66025641025641
54,Gunnison,6884.5,2777.5,763.5,2026.0,18.0,36.0,1112.0,60.0,60.5,31.0,,,2021,,,,,,,,,,,,,,,,,,,,,
55,Jefferson,227805.0,173263.0,4756.0,44485.0,151.0,22.0,2606.0,476.0,1125.0,921.0,8.0,59.0,2017,564029.0,8059.0,Golden,"534,543","1,979.29",764.208,25.446,9.825,"2,004.74",774.033,39.58646,-105.245601,65.175,39.973076923076896,52.1044871794872,45.8301282051282,5.52878205128205,45.324358974359,220.96858974359,13.8705128205128,5.78846153846154
56,Jefferson,230153.0,172687.0,4982.0,47087.0,201.0,25.0,2447.0,594.0,1198.0,932.0,8.0,59.0,2018,570427.0,8059.0,Golden,"534,543","1,979.29",764.208,25.446,9.825,"2,004.74",774.033,39.58646,-105.245601,65.175,39.973076923076896,52.1044871794872,45.8301282051282,5.52878205128205,45.324358974359,220.96858974359,13.8705128205128,5.78846153846154
57,Jefferson,232284.0,172547.0,5117.0,48865.0,180.0,15.0,2174.0,848.0,1400.0,1138.0,8.0,59.0,2019,574798.0,8059.0,Golden,"534,543","1,979.29",764.208,25.446,9.825,"2,004.74",774.033,39.58646,-105.245601,65.175,39.973076923076896,52.1044871794872,45.8301282051282,5.52878205128205,45.324358974359,220.96858974359,13.8705128205128,5.78846153846154
58,Jefferson,229007.0,168562.0,5276.0,49348.0,169.0,0.0,1991.0,861.0,1448.0,1352.0,8.0,59.0,2020,578795.0,8059.0,Golden,"534,543","1,979.29",764.208,25.446,9.825,"2,004.74",774.033,39.58646,-105.245601,65.175,39.973076923076896,52.1044871794872,45.8301282051282,5.52878205128205,45.324358974359,220.96858974359,13.8705128205128,5.78846153846154
59,Jefferson,231246.5,168204.0,5456.5,51538.0,183.5,0.0,1775.0,1047.0,1585.5,1460.5,,,2021,,,,,,,,,,,,,,,,,,,,,
60,Mineral,404.0,21.0,171.0,90.0,0.0,0.0,114.0,5.0,3.0,0.0,8.0,79.0,2017,834.0,8079.0,Creede,712,"2,267.97",875.666,5.222,2.016,"2,273.19",877.682,37.651478,-106.9323,49.0897435897436,29.9442307692308,38.500641025641,55.6173076923077,5.34205128205128,32.9038461538462,217.612179487179,18.5724358974359,7.75
61,Mineral,375.0,24.0,150.0,72.0,0.0,0.0,119.0,5.0,5.0,0.0,8.0,79.0,2018,823.0,8079.0,Creede,712,"2,267.97",875.666,5.222,2.016,"2,273.19",877.682,37.651478,-106.9323,49.0897435897436,29.9442307692308,38.500641025641,55.6173076923077,5.34205128205128,32.9038461538462,217.612179487179,18.5724358974359,7.75
62,Mineral,367.0,27.0,137.0,63.0,0.0,0.0,136.0,0.0,4.0,0.0,8.0,79.0,2019,824.0,8079.0,Creede,712,"2,267.97",875.666,5.222,2.016,"2,273.19",877.682,37.651478,-106.9323,49.0897435897436,29.9442307692308,38.500641025641,55.6173076923077,5.34205128205128,32.9038461538462,217.612179487179,18.5724358974359,7.75
63,Mineral,394.0,30.0,131.0,73.0,0.0,0.0,157.0,0.0,3.0,0.0,8.0,79.0,2020,853.0,8079.0,Creede,712,"2,267.97",875.666,5.222,2.016,"2,273.19",877.682,37.651478,-106.9323,49.0897435897436,29.9442307692308,38.500641025641,55.6173076923077,5.34205128205128,32.9038461538462,217.612179487179,18.5724358974359,7.75
64,Mineral,375.5,33.0,114.0,59.5,0.0,0.0,168.0,0.0,3.5,0.0,,,2021,,,,,,,,,,,,,,,,,,,,,
65,Ouray,2204.0,909.0,656.0,225.0,0.0,0.0,359.0,37.0,12.0,6.0,8.0,91.0,2017,4653.0,8091.0,Ouray,"4,436","1,402.72",541.593,1.6,0.618,"1,404.32",542.211,38.1506,-107.767133,57.000641025641,36.7448717948718,46.4314102564103,45.4711538461539,5.58230769230769,31.2884615384615,267.966666666667,16.1570512820513,7.26282051282051
66,Ouray,2194.0,943.0,606.0,284.0,0.0,0.0,322.0,24.0,9.0,6.0,8.0,91.0,2018,4722.0,8091.0,Ouray,"4,436","1,402.72",541.593,1.6,0.618,"1,404.32",542.211,38.1506,-107.767133,57.000641025641,36.7448717948718,46.4314102564103,45.4711538461539,5.58230769230769,31.2884615384615,267.966666666667,16.1570512820513,7.26282051282051
67,Ouray,2163.0,967.0,588.0,289.0,0.0,0.0,285.0,21.0,8.0,5.0,8.0,91.0,2019,4796.0,8091.0,Ouray,"4,436","1,402.72",541.593,1.6,0.618,"1,404.32",542.211,38.1506,-107.767133,57.000641025641,36.7448717948718,46.4314102564103,45.4711538461539,5.58230769230769,31.2884615384615,267.966666666667,16.1570512820513,7.26282051282051
68,Ouray,2259.0,1088.0,487.0,335.0,0.0,0.0,312.0,23.0,9.0,5.0,8.0,91.0,2020,4890.0,8091.0,Ouray,"4,436","1,402.72",541.593,1.6,0.618,"1,404.32",542.211,38.1506,-107.767133,57.000641025641,36.7448717948718,46.4314102564103,45.4711538461539,5.58230769230769,31.2884615384615,267.966666666667,16.1570512820513,7.26282051282051
69,Ouray,2238.5,1117.0,453.0,367.0,0.0,0.0,275.0,15.0,7.0,4.5,,,2021,,,,,,,,,,,,,,,,,,,,,
70,Rio Blanco,2417.0,1463.0,290.0,476.0,0.0,0.0,136.0,0.0,41.0,11.0,8.0,103.0,2017,6557.0,8103.0,Meeker,"6,666","8,342.18","3,220.93",4.868,1.88,"8,347.05","3,222.81",39.972606,-108.200685,60.325,30.6826923076923,45.3935897435897,51.9762820512821,4.24692307692308,25.3948717948718,274.301282051282,18.1448717948718,7.3974358974359
71,Rio Blanco,2403.0,1461.0,279.0,488.0,0.0,0.0,129.0,0.0,34.0,12.0,8.0,103.0,2018,6465.0,8103.0,Meeker,"6,666","8,342.18","3,220.93",4.868,1.88,"8,347.05","3,222.81",39.972606,-108.200685,60.325,30.6826923076923,45.3935897435897,51.9762820512821,4.24692307692308,25.3948717948718,274.301282051282,18.1448717948718,7.3974358974359
72,Rio Blanco,2301.0,1353.0,238.0,509.0,0.0,0.0,162.0,0.0,23.0,16.0,8.0,103.0,2019,6384.0,8103.0,Meeker,"6,666","8,342.18","3,220.93",4.868,1.88,"8,347.05","3,222.81",39.972606,-108.200685,60.325,30.6826923076923,45.3935897435897,51.9762820512821,4.24692307692308,25.3948717948718,274.301282051282,18.1448717948718,7.3974358974359
73,Rio Blanco,2513.0,1522.0,257.0,508.0,0.0,6.0,145.0,10.0,57.0,8.0,8.0,103.0,2020,6369.0,8103.0,Meeker,"6,666","8,342.18","3,220.93",4.868,1.88,"8,347.05","3,222.81",39.972606,-108.200685,60.325,30.6826923076923,45.3935897435897,51.9762820512821,4.24692307692308,25.3948717948718,274.301282051282,18.1448717948718,7.3974358974359
74,Rio Blanco,2455.0,1467.0,231.0,524.5,0.0,6.0,158.0,10.0,48.0,10.5,,,2021,,,,,,,,,,,,,,,,,,,,,
